Date,Confirmed,ConfirmPerday,day
10/3/2020,1,1,3
10/4/2020,71,70,4
10/5/2020,325,254,5
10/6/2020,832,507,6
10/7/2020,1030,198,7
10/8/2020,1040,10,8
10/9/2020,1059,19,9
10/10/2020,1158,99,10
10/11/2020,1272,114,11
10/12/2020,1356,84,12
10/13/2020,1356,0,13
10/14/2020,1356,0,14
10/15/2020,1356,0,15
10/16/2020,1356,0,16
10/17/2020,1356,0,17
10/18/2020,1356,0,18
10/19/2020,1356,0,19
10/20/2020,1356,0,20
10/21/2020,1356,0,21
10/22/2020,1440,84,22
10/23/2020,1459,19,23
10/24/2020,1518,59,24
10/25/2020,1623,105,25
10/26/2020,1927,304,26
10/27/2020,2147,220,27
10/28/2020,2222,75,28
10/29/2020,2429,207,29
