Date,Confirmed,ConfirmPerday,day
10/3/2020,7,7,3
10/4/2020,12,5,4
10/5/2020,13,1,5
10/6/2020,22,9,6
10/7/2020,27,5,7
10/8/2020,39,12,8
10/9/2020,44,5,9
10/10/2020,44,0,10
10/11/2020,47,3,11
10/12/2020,49,2,12
10/13/2020,232,183,13
10/14/2020,364,132,14
10/15/2020,437,73,15
10/16/2020,547,110,16
10/17/2020,668,121,17
10/18/2020,714,46,18
10/19/2020,793,79,19
10/20/2020,971,178,20
10/21/2020,1089,118,21
10/22/2020,1089,0,22
10/23/2020,1708,619,23
10/24/2020,1747,39,24
10/25/2020,1807,60,25
10/26/2020,1849,42,26
10/27/2020,1858,9,27
10/28/2020,1858,0,28
10/29/2020,1977,119,29
